NU_ANO;CO_CURSO;ANO_FIM_EM;ANO_IN_GRAD;CO_TURNO_GRADUACAO
2025;1477973;1998;2020;3
2025;5000931;1998;2020;3
2025;1257524;1998;2021;4
2025;7105;1998;2021;3
2025;11233;1998;2020;3
2025;1185903;1998;2022;3
2025;57402;1998;2020;3
2025;1390317;1998;2020;3
2025;5000980;1998;2020;3
2025;1397773;1998;2020;3
2025;1192047;1998;2020;3
2025;72667;1998;2020;3
2025;57402;1998;2020;3
2025;1322329;1998;2020;3
2025;90483;1998;1998;3
2025;1390317;1998;2020;3
2025;1322329;1998;2022;3
2025;1202547;1998;2017;3
2025;5001183;1998;2020;4
2025;1486822;1998;2021;3
2025;51835;1998;2021;3
2025;1258023;1998;2022;3
2025;18472;1998;2020;3
2025;8698;1998;2021;3
2025;1168313;1998;2021;3
2025;5001183;1998;2020;3
2025;1399616;1998;2020;3
2025;84352;1998;2020;3
2025;1257524;1998;2020;4
2025;85652;1998;2021;3
2025;5001183;1998;2022;3
2025;1363536;1998;2020;3
2025;65114;1998;2021;3
2025;87537;1998;2019;3
2025;1399489;1998;2020;3
2025;98506;1998;2019;3
2025;53338;1998;2020;3
2025;5000979;1998;2020;3
2025;1108786;1998;2020;3
2025;18605;1998;2021;3
2025;86288;1998;2022;3
2025;1188849;1998;2023;3
2025;1487491;1998;2022;3
2025;86288;1998;2020;3
2025;1399618;1998;2020;4
2025;19850;1998;2022;3
2025;1166567;1998;2021;3
2025;1399616;1998;2014;3
2025;1399618;1998;2022;4
2025;1166567;1998;2021;3
2025;1483773;1998;2020;3
2025;1190280;1998;2019;3
2025;100956;1998;2021;3
2025;18605;1998;2020;3
2025;57402;1998;2020;3
2025;1292917;1998;2020;3
2025;1485621;1998;2021;3
2025;1163738;1998;2020;3
2025;1029204;1998;2020;3
2025;1342536;1998;2021;3
2025;18594;1998;2020;4
2025;7837;1998;2010;3
2025;5000979;1998;2022;3
2025;91219;1998;2020;3
2025;1258023;1998;2021;3
2025;1029204;1998;2019;3
2025;71859;1998;2020;3
2025;1193264;1998;2020;3
2025;66361;1998;2020;3
2025;18605;1998;2020;3
2025;75821;1998;2020;3
2025;57402;1998;2020;3
2025;1292917;1998;2020;3
2025;7414;1998;2020;3
2025;97679;1998;2020;3
2025;18605;1998;2020;3
2025;1190621;1998;2020;3
2025;20058;1998;2020;3
2025;107766;1998;2020;3
2025;5001167;1998;2019;3
2025;5000001;1998;2020;3
2025;75821;1998;2020;3
2025;87537;1998;2021;3
2025;5000980;1998;2020;3
2025;1321864;1998;2020;3
2025;65924;1998;2023;3
2025;1483805;1998;2020;3
2025;86288;1998;2022;3
2025;72667;1998;2020;3
2025;1108786;1998;2020;3
2025;1192047;1998;2021;3
2025;49060;1998;2020;3
2025;1399489;1999;2021;3
2025;1465625;1999;2020;3
2025;66361;1999;2020;3
2025;5000979;1999;2020;3
2025;1465625;1999;2021;3
2025;7837;1999;2020;3
2025;1342537;1999;2021;3
2025;85652;1999;2020;3
2025;1465625;1999;2020;3
2025;65114;1999;2022;3
2025;1465625;1999;2020;3
2025;1465625;1999;2021;3
2025;1342536;1999;2021;3
2025;1322329;1999;2020;3
2025;1465625;1999;2020;3
2025;1104264;1999;2020;3
2025;1438629;1999;2021;3
2025;66361;1999;2022;3
2025;7705;1999;2020;3
2025;1465625;1999;2020;3
2025;72681;1999;2020;3
2025;37304;1999;2021;4
2025;1419799;1999;2020;3
2025;1322329;1999;2020;3
2025;1477973;1999;2020;3
2025;1465625;1999;2021;3
2025;1399615;1999;2020;3
2025;1188849;1999;2024;3
2025;1184325;1999;2020;3
2025;1465625;1999;2020;3
2025;1465625;1999;2021;3
2025;1465625;1999;2020;3
2025;1192047;1999;2020;3
2025;1465625;1999;2020;3
2025;7105;1999;2021;3
2025;10591;1999;2020;3
2025;1385538;1999;2020;3
2025;6496;1999;2020;3
